Loading data...
Will write to: digits_30000ep_60000ts_3l_45hu_.net
Creating network.
Training network.
Max epochs    30000. Desired error: 0.0049999999.
Epochs          195. Current error: 0.0915213749. Bit fail 60107.
Epochs          196. Current error: 0.0952164009. Bit fail 62345.
Epochs          197. Current error: 0.0942621380. Bit fail 62508.
Epochs          198. Current error: 0.0976315513. Bit fail 64190.
Epochs          199. Current error: 0.0912877470. Bit fail 60668.
Epochs          200. Current error: 0.0927706808. Bit fail 61034.
Epochs          201. Current error: 0.0916640535. Bit fail 60059.
Epochs          202. Current error: 0.0972014815. Bit fail 64796.
Epochs          203. Current error: 0.0925150663. Bit fail 60593.
Epochs          204. Current error: 0.0938922465. Bit fail 62374.
Epochs          205. Current error: 0.0900759473. Bit fail 59108.
Epochs          206. Current error: 0.0894370005. Bit fail 58540.
Epochs          207. Current error: 0.0911810324. Bit fail 59698.
Epochs          208. Current error: 0.0932617933. Bit fail 60859.
Epochs          209. Current error: 0.0911331475. Bit fail 59692.
Epochs          210. Current error: 0.0906647146. Bit fail 59304.
Epochs          211. Current error: 0.0900775865. Bit fail 59063.
Epochs          212. Current error: 0.0905467495. Bit fail 59233.
Epochs          213. Current error: 0.0900039896. Bit fail 59008.
Epochs          214. Current error: 0.0926079601. Bit fail 60469.
Epochs          215. Current error: 0.0899237469. Bit fail 58969.
Epochs          216. Current error: 0.0923258066. Bit fail 60295.
Epochs          217. Current error: 0.0898329020. Bit fail 58954.
Epochs          218. Current error: 0.0919918567. Bit fail 60134.
Epochs          219. Current error: 0.0897729620. Bit fail 58926.
Epochs          220. Current error: 0.0916627571. Bit fail 59943.
Epochs          221. Current error: 0.0896605179. Bit fail 58881.
Epochs          222. Current error: 0.0914328620. Bit fail 59819.
Epochs          223. Current error: 0.0895540714. Bit fail 58848.
Epochs          224. Current error: 0.0912900493. Bit fail 59771.
Epochs          225. Current error: 0.0894200057. Bit fail 58800.
Epochs          226. Current error: 0.0911891237. Bit fail 59747.
Epochs          227. Current error: 0.0895109624. Bit fail 58627.
Epochs          228. Current error: 0.0913474336. Bit fail 59603.
Epochs          229. Current error: 0.0893810019. Bit fail 58575.
Epochs          230. Current error: 0.0919287801. Bit fail 60252.
Epochs          231. Current error: 0.0892405137. Bit fail 58509.
Epochs          232. Current error: 0.0925928876. Bit fail 60337.
Epochs          233. Current error: 0.0890040398. Bit fail 58405.
Epochs          234. Current error: 0.0925917774. Bit fail 60423.
Epochs          235. Current error: 0.0932725295. Bit fail 60972.
Epochs          236. Current error: 0.0937180594. Bit fail 61093.
Epochs          237. Current error: 0.0930616781. Bit fail 60882.
Epochs          238. Current error: 0.0938059241. Bit fail 61173.
Epochs          239. Current error: 0.0929436982. Bit fail 60798.
Epochs          240. Current error: 0.0940881968. Bit fail 61327.
Epochs          241. Current error: 0.0924681798. Bit fail 60517.
Epochs          242. Current error: 0.0924145505. Bit fail 60322.
Epochs          243. Current error: 0.0944370404. Bit fail 61699.
Epochs          244. Current error: 0.0946100131. Bit fail 61737.
Epochs          245. Current error: 0.0976309776. Bit fail 63790.
Epochs          246. Current error: 0.1001037359. Bit fail 65046.
Epochs          247. Current error: 0.0933229402. Bit fail 62508.
Epochs          248. Current error: 0.0919456854. Bit fail 60229.
Epochs          249. Current error: 0.0975081623. Bit fail 63691.
Epochs          250. Current error: 0.1033442020. Bit fail 67837.
Epochs          251. Current error: 0.0960788876. Bit fail 62838.
Epochs          252. Current error: 0.0960137397. Bit fail 64826.
Epochs          253. Current error: 0.0915941894. Bit fail 60161.
Epochs          254. Current error: 0.0964227244. Bit fail 62965.
Epochs          255. Current error: 0.0920273215. Bit fail 60446.
Epochs          256. Current error: 0.0964562073. Bit fail 63005.
Epochs          257. Current error: 0.0912457407. Bit fail 59998.
Epochs          258. Current error: 0.0964367092. Bit fail 62798.
Epochs          259. Current error: 0.0933971629. Bit fail 61325.
Epochs          260. Current error: 0.0929679424. Bit fail 60960.
Epochs          261. Current error: 0.0909404159. Bit fail 59876.
Epochs          262. Current error: 0.0928098261. Bit fail 60891.
Epochs          263. Current error: 0.0929681882. Bit fail 61121.
Epochs          264. Current error: 0.0926245153. Bit fail 60830.
Epochs          265. Current error: 0.0927298591. Bit fail 61057.
Epochs          266. Current error: 0.0928504914. Bit fail 61809.
Epochs          267. Current error: 0.0907311812. Bit fail 59925.
Epochs          268. Current error: 0.0902272686. Bit fail 59528.
Epochs          269. Current error: 0.0929880440. Bit fail 61399.
Epochs          270. Current error: 0.0924486592. Bit fail 60988.
Epochs          271. Current error: 0.0931222066. Bit fail 61591.
Epochs          272. Current error: 0.0902542323. Bit fail 59796.
Epochs          273. Current error: 0.0932851583. Bit fail 61848.
Epochs          274. Current error: 0.0903398469. Bit fail 59988.
Epochs          275. Current error: 0.0935638845. Bit fail 62141.
Epochs          276. Current error: 0.0904642940. Bit fail 60216.
Epochs          277. Current error: 0.0924701840. Bit fail 61769.
Epochs          278. Current error: 0.0904770195. Bit fail 60567.
Epochs          279. Current error: 0.0912446976. Bit fail 63737.
Epochs          280. Current error: 0.0892805308. Bit fail 62594.
Epochs          281. Current error: 0.0946643651. Bit fail 66320.
Epochs          282. Current error: 0.0913869739. Bit fail 64454.
Epochs          283. Current error: 0.0931774825. Bit fail 66093.
Epochs          284. Current error: 0.0886329785. Bit fail 63620.
Epochs          285. Current error: 0.1032578573. Bit fail 73211.
Epochs          286. Current error: 0.1090329438. Bit fail 71032.
Epochs          287. Current error: 0.0981491357. Bit fail 69960.
Epochs          288. Current error: 0.0902505890. Bit fail 59545.
Epochs          289. Current error: 0.0925818458. Bit fail 61219.
Epochs          290. Current error: 0.1077363342. Bit fail 72034.
Epochs          291. Current error: 0.1080410480. Bit fail 70143.
Epochs          292. Current error: 0.1027568206. Bit fail 72962.
Epochs          293. Current error: 0.0930280387. Bit fail 61054.
Epochs          294. Current error: 0.0905122906. Bit fail 59445.
Epochs          295. Current error: 0.0891751647. Bit fail 58678.
Epochs          296. Current error: 0.0909372196. Bit fail 59652.
Epochs          297. Current error: 0.0934587941. Bit fail 61149.
Epochs          298. Current error: 0.0925091580. Bit fail 59867.
Epochs          299. Current error: 0.0952120870. Bit fail 62319.
Epochs          300. Current error: 0.0916920006. Bit fail 59989.
Epochs          301. Current error: 0.0914592966. Bit fail 59900.
Epochs          302. Current error: 0.0892967060. Bit fail 58353.
Epochs          303. Current error: 0.0949959233. Bit fail 61894.
Epochs          304. Current error: 0.0924422517. Bit fail 60261.
Epochs          305. Current error: 0.0960415527. Bit fail 62385.
Epochs          306. Current error: 0.0901157260. Bit fail 59588.
Epochs          307. Current error: 0.0931100249. Bit fail 60803.
Epochs          308. Current error: 0.0896050259. Bit fail 58425.
Epochs          309. Current error: 0.0988752767. Bit fail 64150.
Epochs          310. Current error: 0.0897139162. Bit fail 58455.
Epochs          311. Current error: 0.1018598378. Bit fail 66005.
Epochs          312. Current error: 0.0895946622. Bit fail 58440.
Epochs          313. Current error: 0.0942763463. Bit fail 61518.
Epochs          314. Current error: 0.0933609605. Bit fail 60726.
Epochs          315. Current error: 0.0977601483. Bit fail 63632.
Epochs          316. Current error: 0.0925650746. Bit fail 60540.
Epochs          317. Current error: 0.1031855345. Bit fail 67113.
Epochs          318. Current error: 0.0930285454. Bit fail 60864.
Epochs          319. Current error: 0.0910838321. Bit fail 61393.
Epochs          320. Current error: 0.0910993069. Bit fail 59645.
Epochs          321. Current error: 0.0998837426. Bit fail 64907.
Epochs          322. Current error: 0.0975691229. Bit fail 64091.
Epochs          323. Current error: 0.0972640514. Bit fail 63323.
Epochs          324. Current error: 0.0902814269. Bit fail 60815.
Epochs          325. Current error: 0.0936331898. Bit fail 61137.
Epochs          326. Current error: 0.0889389217. Bit fail 59024.
Epochs          327. Current error: 0.0922057629. Bit fail 60330.
Epochs          328. Current error: 0.0844384208. Bit fail 55655.
Epochs          329. Current error: 0.0901738405. Bit fail 59070.
Epochs          330. Current error: 0.0845265090. Bit fail 55627.
Epochs          331. Current error: 0.0897942558. Bit fail 58835.
Epochs          332. Current error: 0.0846836641. Bit fail 55621.
Epochs          333. Current error: 0.0895312577. Bit fail 58590.
Epochs          334. Current error: 0.0847579166. Bit fail 56699.
Epochs          335. Current error: 0.0909423605. Bit fail 59451.
Epochs          336. Current error: 0.0844731331. Bit fail 55574.
Epochs          337. Current error: 0.0925953239. Bit fail 60505.
Epochs          338. Current error: 0.0843999311. Bit fail 55577.
Epochs          339. Current error: 0.0913951397. Bit fail 59778.
Epochs          340. Current error: 0.0844543129. Bit fail 55591.
Epochs          341. Current error: 0.0904390067. Bit fail 59164.
Epochs          342. Current error: 0.0844001547. Bit fail 55615.
Epochs          343. Current error: 0.0892086700. Bit fail 58538.
Epochs          344. Current error: 0.0842870772. Bit fail 55639.
Epochs          345. Current error: 0.0883176997. Bit fail 58073.
Epochs          346. Current error: 0.0842535645. Bit fail 55643.
Epochs          347. Current error: 0.0875821784. Bit fail 57748.
Epochs          348. Current error: 0.0847384408. Bit fail 56124.
Epochs          349. Current error: 0.0869649798. Bit fail 57570.
Epochs          350. Current error: 0.0842245370. Bit fail 56115.
Epochs          351. Current error: 0.0861226097. Bit fail 57451.
Epochs          352. Current error: 0.0832455158. Bit fail 56130.
Epochs          353. Current error: 0.0846764222. Bit fail 57365.
Epochs          354. Current error: 0.0837362483. Bit fail 77858.
Epochs          355. Current error: 0.0889050961. Bit fail 79353.
Epochs          356. Current error: 0.0859841555. Bit fail 78259.
Epochs          357. Current error: 0.0846700743. Bit fail 57411.
Epochs          358. Current error: 0.0818380937. Bit fail 56225.
Epochs          359. Current error: 0.0838135108. Bit fail 57506.
Epochs          360. Current error: 0.0819978863. Bit fail 56259.
Epochs          361. Current error: 0.0851607472. Bit fail 57590.
Epochs          362. Current error: 0.0823271200. Bit fail 56311.
Epochs          363. Current error: 0.0842858180. Bit fail 57664.
Epochs          364. Current error: 0.0819160491. Bit fail 56350.
Epochs          365. Current error: 0.0843071640. Bit fail 57802.
Epochs          366. Current error: 0.0821614638. Bit fail 56448.
Epochs          367. Current error: 0.0847010240. Bit fail 58038.
Epochs          368. Current error: 0.0821326673. Bit fail 56538.
Epochs          369. Current error: 0.0848161727. Bit fail 58244.
Epochs          370. Current error: 0.0821240395. Bit fail 56614.
Epochs          371. Current error: 0.0853940621. Bit fail 58521.
Epochs          372. Current error: 0.0823993534. Bit fail 56731.
Epochs          373. Current error: 0.0857070759. Bit fail 58822.
Epochs          374. Current error: 0.0824479759. Bit fail 56852.
Epochs          375. Current error: 0.0876317024. Bit fail 59937.
Epochs          376. Current error: 0.0827459693. Bit fail 57023.
Epochs          377. Current error: 0.0884132907. Bit fail 60521.
Epochs          378. Current error: 0.0828093141. Bit fail 57219.
Epochs          379. Current error: 0.0894355699. Bit fail 61306.
Epochs          380. Current error: 0.0812699050. Bit fail 56419.
Epochs          381. Current error: 0.0905605555. Bit fail 62080.
Epochs          382. Current error: 0.0813624188. Bit fail 56560.
Epochs          383. Current error: 0.0862814412. Bit fail 58531.
Epochs          384. Current error: 0.0838738531. Bit fail 58157.
Epochs          385. Current error: 0.0866765678. Bit fail 58786.
Epochs          386. Current error: 0.0843310058. Bit fail 57312.
Epochs          387. Current error: 0.0874784216. Bit fail 59207.
Epochs          388. Current error: 0.0846639425. Bit fail 57620.
Epochs          389. Current error: 0.1392161399. Bit fail 101401.
Epochs          390. Current error: 0.1359853745. Bit fail 99247.
Epochs          391. Current error: 0.1385876238. Bit fail 105073.
Epochs          392. Current error: 0.0824643075. Bit fail 67180.
Epochs          393. Current error: 0.1019342765. Bit fail 104928.
Epochs          394. Current error: 0.0827547759. Bit fail 70637.
Epochs          395. Current error: 0.0863770694. Bit fail 72890.
Epochs          396. Current error: 0.1039499789. Bit fail 101401.
Epochs          397. Current error: 0.1284847260. Bit fail 102376.
Epochs          398. Current error: 0.0986678526. Bit fail 99917.
Epochs          399. Current error: 0.0875614807. Bit fail 73111.
Epochs          400. Current error: 0.0894028172. Bit fail 72614.
Epochs          401. Current error: 0.0880448222. Bit fail 73190.
Epochs          402. Current error: 0.0876234472. Bit fail 72705.
Epochs          403. Current error: 0.0846834704. Bit fail 70975.
Epochs          404. Current error: 0.0877671763. Bit fail 72833.
