Loading data...
Will write to: digits_5000ep_60000ts_3l_20hu_.net
Creating network.
Training network.
Max epochs     5000. Desired error: 0.0049999999.
Epochs          180. Current error: 0.0985017791. Bit fail 63963.
Epochs          181. Current error: 0.0992836803. Bit fail 64358.
Epochs          182. Current error: 0.0899605751. Bit fail 58855.
Epochs          183. Current error: 0.1054884866. Bit fail 68091.
Epochs          184. Current error: 0.0955248922. Bit fail 62186.
Epochs          185. Current error: 0.0971898586. Bit fail 65671.
Epochs          186. Current error: 0.1017074659. Bit fail 65896.
Epochs          187. Current error: 0.1019652113. Bit fail 66000.
Epochs          188. Current error: 0.1075088829. Bit fail 69534.
Epochs          189. Current error: 0.1084283218. Bit fail 69986.
Epochs          190. Current error: 0.1104974449. Bit fail 72439.
Epochs          191. Current error: 0.0956456438. Bit fail 62182.
Epochs          192. Current error: 0.0907111168. Bit fail 59295.
Epochs          193. Current error: 0.1048849821. Bit fail 68001.
Epochs          194. Current error: 0.1050211638. Bit fail 67902.
Epochs          195. Current error: 0.1218103096. Bit fail 78600.
Epochs          196. Current error: 0.0989759192. Bit fail 64366.
Epochs          197. Current error: 0.1021861210. Bit fail 66109.
Epochs          198. Current error: 0.0895193517. Bit fail 58611.
Epochs          199. Current error: 0.1008118466. Bit fail 65277.
Epochs          200. Current error: 0.0937452018. Bit fail 61197.
Epochs          201. Current error: 0.1073020399. Bit fail 69393.
Epochs          202. Current error: 0.0911399126. Bit fail 59578.
Epochs          203. Current error: 0.1001271084. Bit fail 64910.
Epochs          204. Current error: 0.0906753168. Bit fail 59302.
Epochs          205. Current error: 0.0999852046. Bit fail 65107.
Epochs          206. Current error: 0.0898476541. Bit fail 58802.
Epochs          207. Current error: 0.0983684212. Bit fail 63773.
Epochs          208. Current error: 0.0893124640. Bit fail 58483.
Epochs          209. Current error: 0.0965633988. Bit fail 62777.
Epochs          210. Current error: 0.0889427140. Bit fail 58278.
Epochs          211. Current error: 0.0958855078. Bit fail 62418.
Epochs          212. Current error: 0.0889920741. Bit fail 58320.
Epochs          213. Current error: 0.0957851335. Bit fail 62398.
Epochs          214. Current error: 0.0890852064. Bit fail 58382.
