gleber@redis04:~/ann$ ./docr 10000 150 | tee epochs_150hu.txt
Loading data...
Will write to: digits_10000ep_60000ts_3l_150hu_.net
Creating network.
Training network.
Max epochs    10000. Desired error: 0.0049999999.
Epochs          157. Current error: 0.0876189619. Bit fail 57779.
Epochs          158. Current error: 0.1173045412. Bit fail 75624.
Epochs          159. Current error: 0.0842809752. Bit fail 55775.
Epochs          160. Current error: 0.1221017838. Bit fail 78518.
Epochs          161. Current error: 0.0884042978. Bit fail 58228.
Epochs          162. Current error: 0.1232245713. Bit fail 79196.
Epochs          163. Current error: 0.0844725296. Bit fail 55892.
Epochs          164. Current error: 0.1243182793. Bit fail 79863.
Epochs          165. Current error: 0.0843433589. Bit fail 55821.
Epochs          166. Current error: 0.1201315597. Bit fail 77342.
Epochs          167. Current error: 0.0843902528. Bit fail 55847.
Epochs          168. Current error: 0.1206474379. Bit fail 77656.
Epochs          169. Current error: 0.0888500363. Bit fail 58527.
Epochs          170. Current error: 0.1236824840. Bit fail 79511.
Epochs          171. Current error: 0.0845082626. Bit fail 55922.
Epochs          172. Current error: 0.1207364053. Bit fail 77709.
Epochs          173. Current error: 0.0870673284. Bit fail 57471.
Epochs          174. Current error: 0.1219636872. Bit fail 78447.
Epochs          175. Current error: 0.0859184861. Bit fail 56686.
Epochs          176. Current error: 0.1177676320. Bit fail 75731.
Epochs          177. Current error: 0.0851290002. Bit fail 56118.
Epochs          178. Current error: 0.1190442443. Bit fail 76596.
Epochs          179. Current error: 0.0875273123. Bit fail 57557.
Epochs          180. Current error: 0.1157130823. Bit fail 74482.
Epochs          181. Current error: 0.0855170786. Bit fail 56365.
Epochs          182. Current error: 0.1132735685. Bit fail 73007.
Epochs          183. Current error: 0.0855548009. Bit fail 56388.
Epochs          184. Current error: 0.1131110713. Bit fail 72910.
Epochs          185. Current error: 0.0857020542. Bit fail 56487.
Epochs          186. Current error: 0.1112050489. Bit fail 71859.
Epochs          187. Current error: 0.0853697658. Bit fail 56372.
Epochs          188. Current error: 0.1115152985. Bit fail 71976.
Epochs          189. Current error: 0.0854624137. Bit fail 56376.
Epochs          190. Current error: 0.1125510782. Bit fail 72619.
Epochs          191. Current error: 0.0854260996. Bit fail 56372.
Epochs          192. Current error: 0.1155060306. Bit fail 74433.
Epochs          193. Current error: 0.0853210986. Bit fail 56341.
Epochs          194. Current error: 0.1186151057. Bit fail 76344.
Epochs          195. Current error: 0.0852954686. Bit fail 56344.
Epochs          196. Current error: 0.1201075688. Bit fail 77258.
Epochs          197. Current error: 0.0852317438. Bit fail 56319.
Epochs          198. Current error: 0.1186404675. Bit fail 76384.
Epochs          199. Current error: 0.0850690529. Bit fail 57493.
Epochs          200. Current error: 0.1202439219. Bit fail 78578.
Epochs          201. Current error: 0.0888111740. Bit fail 59600.
